cz,pop,parent,child,prop
4004,23459,5,1,0.115
4101,24209,1,1,0.343
4101,24209,2,1,0.249
4101,24209,3,1,0.169
4101,24209,4,1,0.153
4101,24209,5,1,0.1
4102,168122,1,1,0.357
4102,168122,2,1,0.28
4102,168122,3,1,0.183
4102,168122,4,1,0.148
4102,168122,5,1,0.099
4103,89373,1,1,0.376
4103,89373,2,1,0.281
4103,89373,3,1,0.183
4103,89373,4,1,0.131
4103,89373,5,1,0.117
4200,630854,1,1,0.387
4200,630854,2,1,0.258
4200,630854,3,1,0.185
4200,630854,4,1,0.134
4200,630854,5,1,0.115
4301,40542,1,1,0.323
4301,40542,2,1,0.253
4301,40542,3,1,0.172
4301,40542,4,1,0.126
4301,40542,5,1,0.106
4302,94324,1,1,0.356
4302,94324,2,1,0.243
4302,94324,3,1,0.178
4302,94324,4,1,0.122
4302,94324,5,1,0.1
4401,144931,1,1,0.384
4401,144931,2,1,0.259
4401,144931,3,1,0.195
4401,144931,4,1,0.149
4401,144931,5,1,0.131
4402,116256,1,1,0.386
4402,116256,2,1,0.273
4402,116256,3,1,0.221
4402,116256,4,1,0.159
4402,116256,5,1,0.146
4501,49887,1,1,0.41
4501,49887,2,1,0.276
4501,49887,3,1,0.219
4501,49887,4,1,0.164
4501,49887,5,1,0.173
4502,117919,1,1,0.361
4502,117919,2,1,0.279
4502,117919,3,1,0.221
4502,117919,4,1,0.182
4502,117919,5,1,0.148
4601,83451,1,1,0.324
4601,83451,2,1,0.213
4601,83451,3,1,0.154
4601,83451,4,1,0.12
4601,83451,5,1,0.129
4602,123981,1,1,0.372
4602,123981,2,1,0.27
4602,123981,3,1,0.168
4602,123981,4,1,0.137
4602,123981,5,1,0.128
4701,84168,1,1,0.386
4701,84168,2,1,0.292
4701,84168,3,1,0.181
4701,84168,4,1,0.131
4701,84168,5,1,0.106
4702,141711,1,1,0.384
4702,141711,2,1,0.314
4702,141711,3,1,0.195
4702,141711,4,1,0.145
4702,141711,5,1,0.113
4800,146833,1,1,0.399
4800,146833,2,1,0.309
4800,146833,3,1,0.206
4800,146833,4,1,0.146
4800,146833,5,1,0.105
4901,198166,1,1,0.361
4901,198166,2,1,0.279
4901,198166,3,1,0.176
4901,198166,4,1,0.124
4901,198166,5,1,0.093
